               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.04037,             0.01775,           0.0086573,             0.90924,             0.88101,             0.94296,             0.53053,            0.035908,            0.014376,           0.0081062,            0.006436,            0.006436,            0.006436
                  38,            0.039207,            0.016521,           0.0080512,             0.89402,              0.8808,             0.93446,             0.44946,            0.037542,            0.014641,           0.0079197,            0.006337,            0.006337,            0.006337
                  39,            0.040013,            0.016675,           0.0075303,             0.87731,             0.88103,             0.93023,             0.48186,            0.036909,            0.014536,           0.0082541,            0.006238,            0.006238,            0.006238
                  40,             0.03835,            0.016146,           0.0078114,             0.89818,             0.82302,             0.89333,             0.48825,            0.038006,            0.014468,           0.0095043,            0.006139,            0.006139,            0.006139
                  41,            0.038137,            0.015305,            0.007704,             0.84392,             0.88999,             0.89958,             0.46077,            0.041709,            0.014681,           0.0082722,             0.00604,             0.00604,             0.00604
                  42,            0.039817,            0.015661,           0.0069342,             0.84018,             0.91091,             0.88657,             0.48202,             0.03783,            0.014666,           0.0076838,            0.005941,            0.005941,            0.005941
                  43,            0.037015,             0.01703,           0.0078733,             0.78652,             0.83765,             0.85035,             0.45737,            0.036208,             0.01484,           0.0072738,            0.005842,            0.005842,            0.005842
                  44,            0.037038,            0.016359,           0.0064663,             0.84395,              0.9086,             0.89128,             0.52172,            0.035334,            0.014347,           0.0066022,            0.005743,            0.005743,            0.005743
                  45,            0.037271,            0.014936,           0.0059379,             0.86028,             0.89621,             0.91101,             0.51789,            0.035603,            0.014537,           0.0070964,            0.005644,            0.005644,            0.005644
                  46,            0.036091,            0.015322,           0.0057415,             0.82742,              0.9078,             0.90677,             0.53143,            0.037555,            0.014418,           0.0071054,            0.005545,            0.005545,            0.005545
                  47,            0.035861,            0.016221,           0.0063473,              0.8585,             0.86345,             0.91205,             0.51376,             0.03437,            0.014493,           0.0083285,            0.005446,            0.005446,            0.005446
                  48,            0.036313,            0.015642,           0.0063002,             0.82133,             0.87776,             0.91832,             0.52197,            0.035272,            0.014285,           0.0078818,            0.005347,            0.005347,            0.005347
                  49,            0.036348,            0.015259,           0.0064532,             0.83049,              0.8547,             0.89781,             0.53452,            0.035442,            0.014554,           0.0073489,            0.005248,            0.005248,            0.005248
                  50,            0.035395,            0.015462,           0.0055396,             0.82143,             0.83309,             0.87734,             0.52256,             0.03422,            0.014316,            0.010573,            0.005149,            0.005149,            0.005149
