               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02682,            0.011267,           0.0018877,              0.9668,             0.97292,             0.98408,             0.67587,            0.023727,            0.011515,           0.0012122,            0.006535,            0.006535,            0.006535
                  37,            0.027366,            0.011173,           0.0018911,             0.96934,             0.96317,             0.98218,             0.65908,            0.023728,            0.011458,            0.001153,            0.006436,            0.006436,            0.006436
                  38,            0.026892,            0.011067,           0.0018023,             0.97555,             0.96544,             0.98477,             0.67418,            0.023442,            0.011364,           0.0011664,            0.006337,            0.006337,            0.006337
                  39,            0.026336,            0.010746,           0.0015822,             0.96786,             0.97287,             0.98646,             0.68335,            0.023079,            0.011324,           0.0010427,            0.006238,            0.006238,            0.006238
                  40,            0.026725,            0.011091,           0.0017551,             0.97993,              0.9642,             0.98305,             0.68168,            0.023287,            0.011221,           0.0010626,            0.006139,            0.006139,            0.006139
                  41,            0.026312,            0.011262,           0.0016959,             0.97407,             0.97256,             0.98595,             0.68688,            0.023223,            0.011234,           0.0011556,             0.00604,             0.00604,             0.00604
                  42,            0.026372,            0.010791,           0.0019143,             0.96524,             0.98032,             0.98945,             0.70015,            0.022703,             0.01122,           0.0010487,            0.005941,            0.005941,            0.005941
                  43,            0.026046,            0.010856,           0.0016918,              0.9722,              0.9836,             0.98615,             0.70148,            0.022628,            0.011067,           0.0010608,            0.005842,            0.005842,            0.005842
                  44,            0.025572,            0.010777,            0.001776,             0.97317,             0.96935,             0.98398,             0.68903,            0.022639,            0.011141,           0.0011216,            0.005743,            0.005743,            0.005743
                  45,            0.025529,             0.01086,           0.0017506,             0.97109,             0.97104,             0.98593,             0.69014,            0.022198,            0.011077,           0.0011446,            0.005644,            0.005644,            0.005644
                  46,            0.025753,            0.010992,           0.0015473,             0.96988,             0.96965,             0.98916,             0.70122,            0.021917,            0.010992,           0.0011456,            0.005545,            0.005545,            0.005545
                  47,            0.025586,            0.011076,            0.001773,             0.96769,             0.96827,             0.98464,             0.67843,            0.022621,            0.011175,           0.0010775,            0.005446,            0.005446,            0.005446
                  48,            0.025189,            0.010988,           0.0015032,             0.97991,             0.96801,             0.98769,             0.69326,            0.021749,            0.010899,           0.0009737,            0.005347,            0.005347,            0.005347
                  49,            0.024979,            0.010552,           0.0016343,             0.97185,             0.97972,             0.98932,             0.69444,            0.021739,            0.010925,          0.00094744,            0.005248,            0.005248,            0.005248
                  50,             0.02541,             0.01028,           0.0015475,             0.97249,             0.96815,             0.98656,             0.68557,            0.022113,            0.010976,           0.0010068,            0.005149,            0.005149,            0.005149
                  51,             0.02534,            0.010812,           0.0016332,              0.9766,             0.98039,             0.98989,             0.70344,            0.021494,            0.010862,           0.0010123,             0.00505,             0.00505,             0.00505
                  52,            0.024628,            0.010708,           0.0015619,             0.98017,             0.97832,             0.99211,             0.70304,            0.021873,            0.010895,          0.00086287,            0.004951,            0.004951,            0.004951
                  53,            0.024598,            0.010623,           0.0013327,             0.98079,             0.97875,              0.9903,             0.70864,            0.021392,            0.010809,          0.00084323,            0.004852,            0.004852,            0.004852
                  54,            0.024698,            0.010674,           0.0016086,             0.97723,             0.96942,             0.98733,             0.68939,            0.021423,            0.010842,           0.0009153,            0.004753,            0.004753,            0.004753
                  55,            0.024609,            0.010729,           0.0014705,             0.97564,              0.9809,             0.99119,             0.70735,             0.02114,            0.010706,          0.00083207,            0.004654,            0.004654,            0.004654
                  56,            0.024549,            0.010885,           0.0014744,             0.97832,             0.98148,              0.9913,             0.71009,            0.021167,            0.010787,          0.00084767,            0.004555,            0.004555,            0.004555
                  57,            0.024355,            0.010499,           0.0012474,             0.97635,             0.97649,             0.99072,             0.71164,            0.021315,            0.010735,          0.00083118,            0.004456,            0.004456,            0.004456
                  58,            0.023622,            0.010444,           0.0014791,              0.9798,             0.98527,             0.99263,             0.71249,            0.021294,            0.010785,          0.00077684,            0.004357,            0.004357,            0.004357
                  59,             0.02391,            0.010481,           0.0013322,             0.97765,             0.97473,             0.99102,             0.72181,            0.020809,            0.010624,          0.00079074,            0.004258,            0.004258,            0.004258
                  60,            0.024108,             0.01047,           0.0015005,             0.98367,             0.98034,             0.99184,             0.71557,            0.020855,            0.010659,          0.00077303,            0.004159,            0.004159,            0.004159
                  61,            0.024148,            0.010479,            0.001325,             0.98523,             0.97534,             0.99205,             0.72199,            0.020885,            0.010641,          0.00076574,             0.00406,             0.00406,             0.00406
